Destination,Duration(days),Travelerage,Travelergender,Travelernationality,Accommodationtype,Accommodationcost,Transportationtype,Transportationcost
Spain,8,27.0,Male,Korean,Hotel,900,Car rental,400
Canada,7,38.0,Female,Australian,Airbnb,350,Bus,75
"Paris, France",7,25.0,Female,American,Hotel,1400,Plane,600
"Sydney, Australia",7,33.0,Male,Canadian,Airbnb,800,Train,150
"Tokyo, Japan",8,28.0,Female,Chinese,Hostel,500,Plane,900
"Cancun, Mexico",7,45.0,Male,American,Resort,2200,Plane,800
"Rio de Janeiro, Brazil",7,30.0,Female,Brazilian,Hotel,1200,Plane,700
"London, UK",7,55.0,Male,British,Airbnb,900,Train,100
"Barcelona, Spain",7,27.0,Female,Spanish,Hostel,600,Plane,600
"New York City, USA",7,41.0,Male,American,Hotel,1500,Plane,500
"Bangkok, Thailand",6,29.0,Female,Indian,Airbnb,500,Bus,50
"Vancouver, Canada",7,24.0,Male,Korean,Hostel,400,Train,150
"Amsterdam, Netherlands",8,31.0,Female,Dutch,Hotel,1100,Plane,700
"Paris, France",7,31.0,Female,Canadian,Hotel,1200,Train,300
"Tokyo, Japan",10,25.0,Male,American,Hostel,500,Bus,100
"Sydney, AUS",7,27.0,Female,South Korean,Airbnb,900,Car rental,200
"New York, USA",7,28.0,Female,Canadian,Hotel,1400,Flight,800
"Rio de Janeiro, Brazil",9,30.0,Male,Brazilian,Airbnb,800,Train,150
"Bangkok, Thailand",8,23.0,Female,Indian,Hostel,400,Bus,50
"London, UK",8,35.0,Male,British,Hotel,1000,Train,200
"Barcelona, Spain",8,29.0,Female,Spanish,Airbnb,700,Car rental,250
"Seoul, South Korea",8,27.0,Male,South Korean,Hostel,500,Subway,20
"Los Angeles, USA",7,26.0,Male,Chinese,Hotel,1200,Car rental,300
"Rome, Italy",8,33.0,Female,Italian,Airbnb,800,Train,100
Paris,6,35.0,Female,American,Hotel,1200,Plane,800
Tokyo,7,28.0,Male,Japanese,Hostel,400,Train,300
Cape Town,9,29.0,Female,British,Vacation rental,800,Car rental,200
Sydney,6,43.0,Male,Australian,Hotel,1500,Plane,1200
Barcelona,7,31.0,Female,Spanish,Vacation rental,900,Plane,700
Bali,7,27.0,Male,American,Resort,2200,Plane,1000
Paris,6,39.0,Female,French,Hotel,1100,Train,200
New York,6,25.0,Male,American,Vacation rental,1000,Plane,800
Bangkok,8,33.0,Female,Indian,Hostel,300,Plane,700
Rome,6,41.0,Male,Italian,Hotel,1300,Train,100
Bali,8,37.0,Female,British,Resort,1800,Plane,1000
"Bali, Indonesia",7,35.0,Female,South Korean,Resort,500,Plane,800
"Tokyo, Japan",8,29.0,Male,American,Hotel,1000,Train,200
"Cancun, Mexico",7,42.0,Female,Mexican,Resort,800,Plane,500
"Paris, France",7,46.0,Male,British,Hotel,1200,Plane,700
"Cape Town, SA",9,31.0,Male,South African,Guesthouse,400,Car,300
"Bali, Indonesia",7,25.0,Female,Taiwanese,Resort,600,Plane,700
"Sydney, Aus",7,38.0,Male,Australian,Hotel,900,Plane,600
"Bangkok, Thai",7,27.0,Female,Korean,Hotel,400,Plane,400
"New York, USA",7,60.0,Male,American,Hotel,1500,Plane,1000
"Phuket, Thai",7,32.0,Female,British,Resort,700,Plane,800
Paris,6,35.0,Male,American,Hotel,800,Plane,500
Tokyo,10,28.0,Female,Korean,Airbnb,500,Train,300
Bali,11,42.0,Female,Spanish,Resort,1200,Plane,700
Sydney,9,45.0,Male,Australian,Hotel,900,Plane,600
New York,6,31.0,Female,American,Airbnb,700,Car rental,200
London,11,29.0,Male,British,Hostel,300,Plane,400
Dubai,8,24.0,Female,Emirati,Hotel,1000,Plane,800
Bangkok,7,26.0,Male,Vietnamese,Airbnb,400,Train,100
Rome,11,30.0,Female,Italian,Hostel,200,Plane,350
Bali,11,33.0,Male,Indonesian,Villa,1500,Car rental,300
Seoul,10,27.0,Female,Korean,Hotel,800,Train,150
Paris,5,35.0,Male,USA,Hotel,500,Plane,800
Tokyo,9,28.0,Female,Canada,Airbnb,400,Train,200
Sydney,9,45.0,Male,South Korea,Hostel,200,Plane,1200
London,5,37.0,Female,UK,Hotel,600,Plane,700
New York,6,50.0,Male,China,Airbnb,800,Car rental,300
Rome,7,31.0,Female,Taiwan,Hotel,700,Plane,900
Bangkok,8,42.0,Male,Japan,Hostel,300,Train,100
Cape Town,8,27.0,Female,Spain,Airbnb,500,Plane,1500
Rio de Janeiro,7,33.0,Male,Brazil,Hotel,900,Car rental,400
Bali,6,29.0,Female,South Korea,Villa,1200,Plane,1000
Amsterdam,7,41.0,Male,Germany,Hotel,600,Train,150
Paris,5,35.0,Male,USA,Hotel,1000,Plane,800
Tokyo,9,28.0,Female,South Korea,Airbnb,800,Train,500
New York,5,42.0,Male,Hong Kong,Hotel,1200,Car rental,200
Bali,8,30.0,Female,Taiwan,Resort,1500,Plane,1200
Sydney,9,26.0,Male,Canada,Hostel,300,Plane,900
London,5,38.0,Female,United Kingdom,Hotel,900,Train,150
Phuket,7,45.0,Male,Singapore,Villa,2000,Plane,700
Rome,7,31.0,Female,Italy,Hotel,1100,Train,250
Santorini,7,27.0,Male,Greece,Airbnb,1000,Ferry,150
Dubai,5,29.0,Female,United Arab Emirates,Hotel,1500,Car rental,300
Phnom Penh,5,33.0,Male,Cambodia,Hostel,200,Plane,500
"Tokyo, Japan",9,32.0,Female,American,Hotel,1000,Plane,700
"Paris, France",7,47.0,Male,Canadian,Hotel,1200,Train,500
"Sydney, Aus",11,26.0,Female,Chinese,Airbnb,800,Plane,1000
"Rome, Italy",7,38.0,Male,Korean,Hotel,900,Train,400
"Bali, Indonesia",10,29.0,Female,Korean,Hostel,500,Plane,800
"Cancun, Mexico",8,41.0,Male,American,Hotel,1300,Plane,600
"Athens, Greece",10,35.0,Female,Korean,Airbnb,700,Plane,900
"Tokyo, Japan",8,24.0,Male,Korean,Hotel,1200,Plane,700
"Sydney, Aus",10,30.0,Female,Chinese,Airbnb,900,Plane,1000
"Paris, France",8,28.0,Male,American,Hostel,400,Plane,700
"Bali, Indonesia",8,33.0,Female,Canadian,Hotel,800,Plane,800
"Paris, France",6,35.0,Male,American,Hotel,5000,Airplane,2500
"Tokyo, Japan",7,28.0,Female,British,Airbnb,7000,Train,1500
"Cape Town, South Africa",9,45.0,Male,South African,Hostel,3000,Car,2000
"Sydney, Australia",6,31.0,Female,Australian,Hotel,6000,Airplane,3000
"Rome, Italy",7,42.0,Male,Korean,Airbnb,4000,Train,1500
"New York City, USA",7,27.0,Female,American,Hotel,8000,Airplane,2500
"Rio de Janeiro, Brazil",9,37.0,Male,Brazilian,Hostel,2500,Car,2000
"Vancouver, Canada",6,29.0,Female,Canadian,Hotel,5000,Airplane,3000
"Bangkok, Thailand",7,34.0,Male,Chinese,Hostel,2000,Train,1000
"Barcelona, Spain",7,25.0,Female,Spanish,Airbnb,6000,Airplane,2500
"Auckland, New Zealand",7,39.0,Male,New Zealander,Hotel,7000,Train,2500
Bali,9,29.0,Female,Dutch,Airbnb,1000,Car rental,80
Bangkok,8,34.0,Male,Korean,Hostel,1400,Train,50
"Cancun, Mexico",9,33.0,Female,Moroccan,Hotel,900,Flight,1200
Tokyo,7,23.0,Male,Emirati,Villa,1200,Plane,600
Thailand,11,26.0,Female,Spanish,Villa,1000,Car rental,700
Dubai,8,27.0,Female,Brazil,Hotel,900,Train,2000
"Auckland, New Zealand",8,42.0,Female,Canadian,Airbnb,500,Plane,300
Thailand,7,30.0,Male,Korean,Hostel,150,Plane,700
"Athens, Greece",11,33.0,Male,Spain,Hotel,400,Car rental,1200
"Cancun, Mexico",12,31.0,Male,Indian,Hostel,1400,Plane,1500
"Los Angeles, USA",8,30.0,Female,Korean,Resort,1000,Train,700
"Sydney, AUS",12,45.0,Male,Korean,Hostel,400,Car,500
Paris,13,42.0,Male,Korean,Hotel,700,Plane,350
Bangkok,8,46.0,Male,Japanese,Airbnb,1200,Airplane,150
"Edinburgh, Scotland",7,29.0,Male,Italian,Resort,1000,Plane,250
"Barcelona, Spain",7,30.0,Male,South African,Villa,400,Plane,700
Bangkok,12,37.0,Female,Spanish,Hotel,1200,Plane,300
"Cancun, Mexico",8,23.0,Female,South Korea,Airbnb,900,Flight,75
"Amsterdam, Netherlands",13,28.0,Female,Spanish,Hostel,700,Plane,800
Japan,8,33.0,Male,Spanish,Hotel,1000,Train,200
Sydney,7,25.0,Male,Italian,Airbnb,900,Plane,150
"Sydney, Aus",13,42.0,Male,Korean,Resort,300,Car rental,900
"Sydney, Australia",9,33.0,Female,Korean,Hotel,500,Plane,2000
"Bangkok, Thailand",7,39.0,Female,Emirati,Hotel,1500,Train,150
"Sydney, Aus",8,32.0,Male,American,Hotel,1500,Car rental,150
"Barcelona, Spain",8,33.0,Female,Taiwan,Hotel,6000,Plane,300
Phnom Penh,11,38.0,Female,Australian,Airbnb,1100,Bus,100
"New York, USA",11,39.0,Female,American,Airbnb,1200,Plane,700
London,7,31.0,Female,British,Vacation rental,200,Car,1000
Cape Town,7,27.0,Female,South African,Airbnb,300,Plane,150
"Vancouver, Canada",12,27.0,Male,American,Airbnb,700,Plane,200
Tokyo,8,31.0,Male,Vietnamese,Hotel,1400,Plane,700
Bangkok,8,26.0,Male,South Korean,Resort,700,Flight,200
"Bali, Indonesia",8,35.0,Female,British,Airbnb,700,Train,100
"Cancun, Mexico",13,28.0,Male,American,Hotel,4000,Plane,900
Tokyo,7,45.0,Female,Spanish,Hostel,400,Car,400
Bangkok,14,29.0,Female,Spanish,Hotel,900,Plane,800
Brazil,12,41.0,Female,Korean,Hotel,1400,Flight,50
"Cancun, Mexico",7,37.0,Male,Indian,Hotel,1200,Car rental,150
"Rio de Janeiro, Brazil",13,25.0,Female,South Korean,Airbnb,600,Train,20
New York,8,31.0,Male,Vietnamese,Airbnb,350,Train,2000
"Amsterdam, Netherlands",8,31.0,Female,British,Airbnb,500,Car rental,200
Bali,8,26.0,Female,Brazilian,Hostel,800,Car rental,250
Mexico,7,40.0,Female,South African,Hotel,5000,Flight,800
Cape Town,7,35.0,Female,American,Riad,900,Plane,400
"Vancouver, Canada",12,41.0,Male,Hong Kong,Hotel,1500,Flight,700
"Bangkok, Thailand",10,38.0,Male,Dutch,Hotel,800,Bus,400
"Bali, Indonesia",8,29.0,Male,Hong Kong,Hotel,1400,Car rental,50
Tokyo,8,27.0,Female,Spanish,Hotel,900,Car rental,800
"Amsterdam, Netherlands",7,28.0,Female,Australian,Hotel,1500,Plane,2000
"Paris, France",10,35.0,Male,Korean,Hotel,400,Ferry,200
"Bali, Indonesia",12,45.0,Male,Australian,Hotel,350,Train,600
New York,12,27.0,Male,Spanish,Airbnb,900,Plane,20
New York,12,27.0,Female,Australian,Airbnb,200,Plane,150
"Cancun, Mexico",8,42.0,Male,Spanish,Hostel,900,Plane,700
"Phuket, Thailand",8,25.0,Female,Dutch,Airbnb,1200,Train,700
Mexico,13,39.0,Female,USA,Hotel,800,Airplane,300
"Sydney, Aus",8,27.0,Male,American,Airbnb,200,Car rental,150
"Cancun, Mexico",11,35.0,Female,Korean,Airbnb,1500,Car rental,100
"London, UK",11,26.0,Female,American,Hotel,350,Train,50
"Bali, Indonesia",8,25.0,Male,Greece,Hotel,400,Train,400
"Berlin, Germany",11,29.0,Male,Moroccan,Airbnb,1000,Car rental,500
Australia,8,41.0,Female,Emirati,Riad,800,Car rental,150
"Sydney, Aus",7,28.0,Male,Korean,Airbnb,350,Plane,100
Australia,10,29.0,Male,Indian,Resort,300,Plane,800
Rome,8,28.0,Male,American,Hotel,1200,Train,500
Rome,12,34.0,Female,Spain,Hotel,1200,Train,300
"Sydney, Australia",10,27.0,Female,Canada,Hotel,300,Train,300
"Sydney, Aus",11,28.0,Male,South African,Hostel,500,Train,600
"Barcelona, Spain",7,40.0,Female,South African,Airbnb,600,Train,1200
Paris,7,45.0,Male,Taiwan,Hotel,5000,Train,100
London,8,29.0,Female,Germany,Resort,600,Train,500
"Bangkok, Thailand",8,29.0,Female,Korean,Hostel,1200,Plane,1000
"Rome, Italy",8,25.0,Male,Mexican,Airbnb,1500,Plane,700
London,8,28.0,Male,Singapore,Hostel,500,Plane,200
"Berlin, Germany",7,29.0,Male,USA,Hostel,1000,Plane,200
New York,8,45.0,Female,Dutch,Hotel,1000,Train,2500
"Bali, Indonesia",6,27.0,Male,Taiwanese,Vacation rental,300,Plane,100
Brazil,7,41.0,Female,Chinese,Hotel,1200,Train,200
New York,8,33.0,Male,Hong Kong,Airbnb,900,Plane,500
"Marrakech, Morocco",7,33.0,Female,American,Villa,3000,Plane,2500
Santorini,11,23.0,Female,Korean,Vacation rental,900,Flight,3000
"Paris, France",14,25.0,Male,Germany,Hostel,500,Flight,700
"New York, USA",11,24.0,Female,Chinese,Hotel,3000,Plane,900
"Vancouver, Canada",11,32.0,Female,South Korea,Hostel,300,Plane,700
New York,14,29.0,Female,British,Hotel,400,Plane,600
"London, UK",10,33.0,Female,Japanese,Hotel,2000,Plane,300
Cape Town,10,42.0,Male,Korean,Airbnb,1000,Train,1000
Paris,14,29.0,Male,South African,Riad,1200,Plane,800
Italy,7,33.0,Female,Korean,Hotel,2000,Train,500
"Barcelona, Spain",8,26.0,Male,Canadian,Hotel,1800,Airplane,200
"Cape Town, South Africa",8,45.0,Female,Taiwan,Hotel,400,Plane,150
"Paris, France",7,29.0,Female,Moroccan,Hotel,1400,Flight,500
"Tokyo, Japan",7,29.0,Female,Vietnamese,Hotel,300,Flight,300
Phnom Penh,12,39.0,Male,Brazilian,Airbnb,200,Car rental,700
Bali,8,28.0,Male,American,Hostel,600,Train,600
Bali,7,27.0,Male,Taiwan,Resort,1000,Plane,800
"Barcelona, Spain",9,33.0,Male,Chinese,Resort,600,Train,600
Rio de Janeiro,12,41.0,Male,Korean,Hotel,1500,Plane,1000
Barcelona,8,45.0,Male,Chinese,Hotel,400,Train,600
Greece,8,42.0,Male,American,Resort,1000,Plane,700
Bali,8,41.0,Female,Mexican,Hotel,600,Flight,3000
Tokyo,8,37.0,Male,Korean,Hotel,1000,Car rental,600
Paris,7,29.0,Female,Canada,Hostel,900,Plane,800
Egypt,7,31.0,Male,Australian,Airbnb,1500,Plane,2500
Mexico,8,28.0,Male,Scottish,Airbnb,900,Car rental,200
"Amsterdam, Netherlands",7,31.0,Male,British,Airbnb,300,Car rental,700
Bali,9,26.0,Female,Indian,Hostel,150,Plane,50
"London, UK",8,42.0,Female,Indian,Airbnb,700,Plane,200
"Rome, Italy",8,31.0,Female,South Korean,Hotel,1400,Train,20
New York,12,29.0,Male,Taiwan,Hostel,1500,Train,800
Tokyo,8,26.0,Female,Brazilian,Hostel,6000,Plane,100
Cape Town,8,37.0,Female,American,Hotel,800,Airplane,20
Bali,7,27.0,Male,USA,Airbnb,1200,Plane,800
Cape Town,7,29.0,Female,Australian,Airbnb,800,Car,200
Paris,14,25.0,Male,Australian,Hotel,7000,Train,400
"Sydney, Australia",8,24.0,Male,American,Hotel,1000,Car rental,300
Tokyo,14,45.0,Male,Indian,Hotel,800,Flight,2000
Cape Town,7,45.0,Female,Australian,Hotel,2000,Train,600
"Tokyo, Japan",7,33.0,Male,American,Resort,500,Plane,400
"Sydney, Aus",10,28.0,Female,Italy,Resort,1000,Plane,600
New York,7,24.0,Male,Canadian,Airbnb,900,Plane,2000
Rio de Janeiro,7,32.0,Female,Canadian,Hostel,400,Flight,50
Tokyo,8,30.0,Female,South Korean,Hostel,1500,Car rental,50
Tokyo,7,29.0,Female,Spanish,Hotel,600,Plane,1500
"Sydney, AUS",7,45.0,Female,American,Hostel,1300,Train,200
"Sydney, Australia",8,28.0,Female,British,Hotel,8000,Plane,700
Paris,13,33.0,Female,Emirati,Airbnb,700,Plane,400
Brazil,14,29.0,Female,British,Hostel,300,Plane,50
"Cancun, Mexico",10,30.0,Female,Brazil,Hostel,1000,Bus,250
London,12,45.0,Male,American,Hotel,900,Plane,150
Bali,13,30.0,Female,American,Airbnb,900,Airplane,300
Spain,10,33.0,Female,Australian,Airbnb,1400,Plane,100
Bali,11,29.0,Male,Italian,Hotel,500,Plane,120
"Cancun, Mexico",10,45.0,Male,Dutch,Hostel,500,Plane,1500
New York,10,31.0,Female,Korean,Hotel,500,Plane,150
Bangkok,8,28.0,Female,Chinese,Airbnb,700,Plane,700
Paris,13,25.0,Male,Indonesian,Hostel,150,Plane,700
Japan,8,31.0,Male,Canadian,Hotel,500,Plane,150
"Sydney, Australia",10,29.0,Male,American,Airbnb,600,Plane,900
Egypt,11,30.0,Female,South African,Hotel,1000,Plane,1000
Barcelona,7,37.0,Female,South Korean,Hostel,800,Subway,120
"Sydney, Australia",12,25.0,Male,South Korea,Airbnb,700,Plane,1000
Santorini,7,33.0,Male,South Korean,Hotel,1500,Train,900
Bali,13,26.0,Male,Italian,Resort,300,Train,2500
Tokyo,8,29.0,Female,Australian,Airbnb,700,Plane,1000
"Seoul, South Korea",8,27.0,Male,Indian,Hotel,1100,Bus,20
Rome,7,26.0,Female,Indonesian,Guesthouse,700,Flight,20
"Cancun, Mexico",8,30.0,Male,Chinese,Hotel,7000,Plane,200
"London, UK",8,26.0,Female,American,Airbnb,1100,Flight,1200
"Rio de Janeiro, Brazil",8,39.0,Male,Canada,Hotel,1800,Plane,100
New York,12,42.0,Male,American,Hotel,900,Car rental,400
"Bali, Indonesia",7,33.0,Male,Korean,Hotel,1500,Plane,3000
Rome,8,39.0,Female,Korean,Airbnb,6000,Plane,200
"Bangkok, Thailand",11,31.0,Male,South Korean,Airbnb,900,Plane,500
"Cancun, Mexico",11,39.0,Male,Korean,Airbnb,1500,Plane,200
Barcelona,8,39.0,Female,Chinese,Resort,1500,Car rental,2500
Tokyo,8,29.0,Male,Korean,Resort,1000,Plane,500
"Phuket, Thailand",8,41.0,Male,British,Hotel,3000,Plane,700
Sydney,9,33.0,Male,South Korean,Hotel,700,Train,500
Bali,11,45.0,Male,Emirati,Hotel,800,Plane,200
"London, UK",11,31.0,Male,American,Hotel,800,Train,200
"Bangkok, Thailand",8,28.0,Female,Korean,Hotel,800,Train,300
London,8,25.0,Female,British,Hotel,1500,Train,400
Bali,8,35.0,Female,Korean,Hotel,6000,Subway,700
Rome,8,25.0,Male,American,Hostel,400,Car,800
Canada,7,30.0,Male,Dutch,Resort,1200,Flight,2000
New York,12,25.0,Female,Chinese,Airbnb,1100,Car rental,100
Bali,13,31.0,Male,Korean,Hostel,5000,Plane,120
Dubai,7,37.0,Female,United Arab Emirates,Hotel,6000,Plane,700
Sydney,11,23.0,Male,Korean,Hotel,500,Plane,75
Canada,8,39.0,Female,Canadian,Hostel,400,Airplane,250
Phnom Penh,8,35.0,Male,Australian,Hostel,600,Car,700
"Tokyo, Japan",13,26.0,Female,Greece,Airbnb,700,Flight,500
"Bali, Indonesia",7,33.0,Male,Canadian,Resort,1000,Plane,300
Hawaii,13,38.0,Male,Dutch,Hotel,1000,Plane,1000
"Rio de Janeiro, Brazil",7,29.0,Male,South Korean,Hostel,400,Train,500
Brazil,8,45.0,Female,Korean,Hotel,600,Train,500
London,11,33.0,Female,American,Hotel,500,Train,500
"Marrakech, Morocco",8,33.0,Male,American,Hotel,700,Plane,120
New York,13,38.0,Male,Korean,Airbnb,600,Plane,2500
"Cape Town, SA",7,28.0,Male,Moroccan,Hotel,500,Car,200
"Dubai, United Arab Emirates",7,27.0,Female,Korean,Airbnb,400,Train,50
"Los Angeles, USA",7,50.0,Male,Singapore,Vacation rental,800,Plane,100
"Bangkok, Thailand",7,33.0,Female,American,Hotel,1800,Car rental,800
Egypt,10,45.0,Male,Emirati,Hostel,500,Train,2000
"Sydney, Australia",13,28.0,Female,Mexican,Hostel,2500,Flight,800
"Cancun, Mexico",8,28.0,Female,Canada,Hotel,400,Car rental,1500
"Bangkok, Thai",12,28.0,Male,Dutch,Hostel,500,Car,1000
Bangkok,8,38.0,Male,Indian,Hotel,600,Plane,2000
London,7,26.0,Male,Dutch,Riad,1500,Plane,500
"Sydney, Australia",8,35.0,Female,Canadian,Hostel,1100,Plane,800
"Paris, France",13,25.0,Female,British,Hotel,3000,Train,800
Bali,7,31.0,Female,American,Airbnb,350,Plane,400
"London, UK",7,28.0,Female,American,Hotel,1000,Train,800
Phuket,12,33.0,Male,Taiwanese,Hotel,600,Train,300
"Rome, Italy",8,29.0,Female,Canadian,Hostel,1100,Car,100
Brazil,9,41.0,Female,Canadian,Resort,400,Car,1000
New York,8,27.0,Male,South African,Hostel,1000,Flight,2500
"Tokyo, Japan",9,50.0,Female,Emirati,Hotel,600,Plane,150
"Paris, France",13,31.0,Female,South Korea,Hotel,1200,Plane,700
New York,7,41.0,Female,South Korea,Airbnb,800,Flight,300
"Vancouver, Canada",7,35.0,Male,Australian,Hostel,600,Plane,600
"New York, USA",12,28.0,Female,China,Vacation rental,800,Plane,300
"Vancouver, Canada",11,28.0,Female,Korean,Resort,500,Plane,150
"Vancouver, Canada",10,29.0,Male,UK,Hostel,2000,Train,300
"Cancun, Mexico",7,30.0,Male,Spanish,Resort,7000,Train,700
Bali,7,39.0,Female,South Korea,Airbnb,800,Train,120
Santorini,8,43.0,Female,Singapore,Hostel,1000,Bus,500
Rome,7,28.0,Female,China,Hotel,700,Airplane,20
New York,12,38.0,Male,Spain,Airbnb,500,Plane,700
New York,7,32.0,Female,Germany,Hotel,800,Train,1200
"New York City, USA",7,45.0,Female,British,Hostel,3000,Plane,100
"Paris, France",10,27.0,Female,Mexican,Villa,1200,Train,150
"Rio de Janeiro, Brazil",7,31.0,Male,Indian,Airbnb,800,Plane,800
"Bali, Indonesia",13,29.0,Female,Taiwanese,Resort,2200,Train,700
Sydney,7,31.0,Male,American,Hotel,2000,Flight,1000
"Barcelona, Spain",7,25.0,Male,South Korean,Resort,700,Plane,800
"Bangkok, Thai",5,27.0,Male,Germany,Airbnb,1500,Train,300
Thailand,8,26.0,Male,Korean,Hostel,800,Plane,700
New York,9,30.0,Female,Korean,Hostel,900,Plane,700
"Cancun, Mexico",8,50.0,Male,Korean,Hotel,8000,Flight,900
Sydney,7,42.0,Male,French,Airbnb,1000,Plane,700
Bali,7,31.0,Male,Brazilian,Hotel,300,Plane,500
Bali,7,27.0,Female,Canadian,Airbnb,400,Plane,300
Australia,12,33.0,Female,British,Hostel,500,Train,1200
"Amsterdam, Netherlands",8,27.0,Male,British,Airbnb,600,Plane,700
"Seoul, South Korea",8,27.0,Male,Brazilian,Airbnb,400,Bus,700
"Cape Town, SA",10,42.0,Male,American,Hostel,2500,Subway,150
Sydney,7,29.0,Female,British,Hostel,150,Train,300
"Rome, Italy",7,37.0,Male,Indian,Hotel,1200,Flight,2500
Bali,7,38.0,Female,Dutch,Hotel,2500,Flight,500
"Amsterdam, Netherlands",7,29.0,Male,United Arab Emirates,Hotel,600,Airplane,2000
"Cape Town, South Africa",8,37.0,Female,American,Hotel,1300,Flight,700
"Sydney, Australia",11,29.0,Male,Italian,Hostel,800,Train,150
"Tokyo, Japan",8,33.0,Male,Australian,Hotel,150,Plane,700
"Cancun, Mexico",13,33.0,Female,British,Airbnb,2000,Plane,350
"Cape Town, South Africa",8,31.0,Male,Korean,Airbnb,400,Bus,700
"Cape Town, South Africa",8,35.0,Male,Korean,Hotel,900,Car rental,800
"Cape Town, South Africa",11,29.0,Male,Singapore,Airbnb,500,Train,100
"Marrakech, Morocco",8,29.0,Male,British,Vacation rental,200,Plane,700
"Marrakech, Morocco",7,29.0,Female,British,Airbnb,600,Plane,3000
Bangkok,9,25.0,Female,American,Hotel,1100,Train,600
Japan,12,26.0,Female,Hong Kong,Hotel,2000,Train,1200
"Barcelona, Spain",7,38.0,Female,United Kingdom,Resort,1300,Bus,120
Bali,14,29.0,Female,Canadian,Airbnb,800,Plane,800
"Bangkok, Thailand",8,27.0,Female,Dutch,Hotel,1200,Flight,800
New York,12,42.0,Female,South Korean,Hotel,600,Train,150
Rome,8,28.0,Female,Chinese,Hotel,1200,Plane,1000
"Bangkok, Thailand",8,28.0,Female,Spain,Villa,2000,Plane,800
"Paris, France",9,27.0,Female,American,Hostel,900,Plane,400
"New York City, USA",8,25.0,Female,Australian,Hotel,2000,Plane,1000
Tokyo,11,25.0,Male,Korean,Airbnb,1500,Plane,700
Santorini,8,32.0,Female,American,Hostel,300,Car rental,80
"Sydney, Australia",7,45.0,Female,American,Hostel,500,Plane,1000
"Tokyo, Japan",7,28.0,Male,Canadian,Hostel,1000,Train,200
Rome,14,30.0,Male,Italian,Hostel,1100,Train,200
Canada,13,28.0,Male,Italian,Resort,1200,Plane,200
"Barcelona, Spain",8,32.0,Female,American,Hostel,800,Airplane,150
"Barcelona, Spain",10,27.0,Female,Italian,Resort,1200,Train,1000
"Paris, France",8,31.0,Male,American,Hotel,900,Plane,1200
Paris,10,36.0,Female,Indonesian,Villa,200,Car,250
Tokyo,13,29.0,Male,Moroccan,Vacation rental,1000,Train,200
"New York, USA",12,33.0,Female,British,Hotel,500,Plane,700
"Amsterdam, Netherlands",8,39.0,Male,Indian,Hotel,900,Plane,2500
"Bangkok, Thailand",9,29.0,Male,Chinese,Airbnb,200,Plane,120
Australia,7,25.0,Female,New Zealander,Airbnb,1100,Train,350
"Cape Town, SA",7,40.0,Male,New Zealander,Hotel,700,Plane,1200
